"Language","App Name","Short Description","Full Description"
"zh-TW","Lumi: 兒童趣味語言啟蒙","專為兒童設計的互動式外語詞彙啟蒙與益智學習遊戲。","歡迎使用Lumi，一款專為兒童和初學者打造的互動式語言與詞彙啟蒙應用程式！

Lumi將早期語言認知與有趣的益智小遊戲深度結合，幫助孩子們在英語、西班牙語、越南語、法語和德語等多門語言中建立扎實的基礎。透過跟讀發音、聽力辨識、看圖問答和趣味任務，探索一門新語言成為孩子每天期待的快樂旅程。

核心亮點：

• 系統化詞彙課程：貼合兒童生活經驗的主題設計，由淺入深循序漸進。
• 多感官互動小遊戲：看圖答題、聲音配對、魔法調色盤以及趣味尋寶遊戲。
• 生動吉祥物Lumi：可愛角色即時互動，為你每一次的進步歡呼鼓勁，保持學習興趣。
• 本地學習記錄：離線查看每日打卡天數、測驗得分和詞彙記憶曲線。
• 純正聽力與跟讀：聆聽標準清晰的發音，配合交互式口語練習培養語感。
• 純淨兒童安全環境：內建家長驗證保護鎖，無干擾性廣告。

Lumi是家庭親子啟蒙的得力幫手。立即下載Lumi，陪伴孩子開啟生動精彩的語言探索之旅吧！"
"ru","Lumi: Учим языки и слова","Обучающие игры со словами и изучение языков для детей с Lumi.","Добро пожаловать в Lumi — интерактивное приложение для изучения языков и расширения словарного запаса у детей!

Lumi сочетает проверенные методики раннего развития с увлекательными мини-играми, помогая сформировать прочную базу в таких языках, как английский, испанский, вьетнамский, французский и немецкий. Тренировка произношения, распознавание звуков, визуальные викторины и активные задания превращают изучение иностранного языка в приятное ежедневное занятие.

Ключевые преимущества:

• Структурированные уроки слов: Понятные и близкие ребенку темы для комфортного старта.
• Мультисенсорные игры: Иллюстрированные викторины, сопоставление звуков, смешивание цветов и поиск скрытых предметов.
• Анимированный персонаж Lumi: Дружелюбный маскот реагирует на успехи в реальном времени и поддерживает интерес к учебе.
• Локальная статистика прогресса: Отслеживайте непрерывные серии занятий, баллы и график запоминания слов без подключения к сети.
• Разговорная практика и слух: Слушайте правильное произношение и практикуйтесь говорить с помощью интерактивных аудио-заданий.
• Безопасная среда: Защита специальным родительским замком и отсутствие навязчивой рекламы.

Lumi станет отличным помощником для родителей, которые хотят познакомить ребенка с иностранными языками в спокойной и понятной форме. Скачайте Lumi уже сегодня!"
"hi","Lumi: भाषाएँ और शब्द सीखें","बच्चों के लिए Lumi के साथ मजेदार भाषा शिक्षण और शब्दावली खेल।","बच्चों के लिए तैयार किए गए इंटरैक्टिव भाषा और शब्दावली सीखने के ऐप Lumi में आपका स्वागत है!

Lumi शिक्षा को रोचक मिनी-गेम्स के साथ जोड़ता है, जिससे बच्चे अंग्रेजी, स्पेनिश, वियतनामी, फ्रेंच और जर्मन जैसी कई भाषाओं में एक मजबूत नींव बना सकें। बोलकर अभ्यास करने, ध्वनियों की पहचान, सचित्र क्विज़ और मनोरंजक गतिविधियों के माध्यम से नई भाषा सीखना हर दिन एक सुखद अनुभव बन जाता है।

प्रमुख विशेषताएं:

• व्यवस्थित शब्दावली पाठ: नन्हें शिक्षार्थियों के लिए विशेष रूप से तैयार किए गए उपयोगी विषय।
• बहु-संवेदी खेल: चित्रों के क्विज़, ध्वनियों का मिलान, रंग मिलाना और छिपी हुई वस्तुएं खोजना।
• एनिमेटेड साथी Lumi: एक प्यारा पात्र जो बच्चे की प्रगति पर खुश होता है और उत्साह बनाए रखता है।
• डिवाइस पर प्रगति विवरण: दैनिक सीखने का क्रम, अंक और याददाश्त के आंकड़े ऑफ़लाइन देखें।
• उच्चारण और बोलने का अभ्यास: सही उच्चारण सुनें और इंटरैक्टिव अभ्यासों के साथ बोलना सीखें।
• बच्चों के लिए सुरक्षित: अभिभावक सुरक्षा गेट की सुविधा और बिना किसी परेशान करने वाले विज्ञापन के।

Lumi उन अभिभावकों के लिए बेहतरीन साधन है जो बच्चों को घर पर ही सहज तरीके से विदेशी भाषा सिखाना चाहते हैं। आज ही Lumi डाउनलोड करें और यह यात्रा शुरू करें!"
"ar","Lumi: تعلم اللغات للأطفال","ألعاب مفردات تفاعلية وتعليم اللغات للأطفال مع شخصية لومي.","مرحبًا بك في Lumi، التطبيق التفاعلي المصمم لتعليم اللغات والمفردات للأطفال والناشئين بطريقة ممتعة ومنظمة!

يجمع Lumi بين التعليم التأسيسي والألعاب التفاعلية الخفيفة لمساعدة الأطفال على اكتساب مهارات لغوية أساسية في عدة لغات تشمل الإنجليزية، الإسبانية، الفيتنامية، الفرنسية والألمانية. من خلال التدريب على النطق، وتمييز الأصوات، والمسابقات المصورة، والأنشطة المشوقة، يصبح تعلم لغة جديدة عادة يومية مبهجة.

أبرز الميزات:

• دروس مفردات منظمة: موضوعات تعليمية مبسطة ومناسبة لمرحلة الطفولة المبكرة.
• ألعاب متعددة الحواس: اختبارات بالصور، ومطابقة الأصوات، ومزج الألوان، والبحث عن الأشياء الخفية.
• الشخصية التفاعلية Lumi: رفيق لطيف يتفاعل في الوقت الفعلي، ويحتفل بإنجازات الطفل ويشجعه على المتابعة.
• متابعة التقدم محلياً: الاطلاع على أيام التعلم المتتالية والدرجات ورسوم بيانية للحفظ دون الحاجة للإنترنت.
• تدريب النطق والاستماع: الاستماع إلى مخارج الحروف السليمة والتدرب على النطق التفاعلي.
• بيئة آمنة للأطفال: مزود ببوابة حماية الوالدين وخالٍ تماماً من الإعلانات المزعجة.

يعد Lumi الخيار الأمثل للآباء الراغبين في بناء أساس لغوي متين لأبنائهم بكل سهولة. حمل Lumi اليوم وابدأ مع طفلك رحلة التعلم الممتعة!"
"tr","Lumi: Dil Öğren ve Oyna","Lumi ile çocuklar için etkileşimli yabancı dil ve kelime oyunları.","Çocuklar için özel olarak tasarlanmış etkileşimli dil ve kelime öğrenme uygulaması Lumi'ye hoş geldiniz!

Lumi, çocukların İngilizce, İspanyolca, Vietnamca, Fransızca ve Almanca dahil birçok dilde sağlam bir temel oluşturmasını sağlamak için temel eğitimi eğlenceli mini oyunlarla buluşturur. Konuşma alıştırmaları, ses ayırt etme, görsel testler ve hareketli görevler sayesinde yeni bir dil öğrenmek keyifli bir günlük alışkanlığa dönüşür.

Öne Çıkan Özellikler:

• Yapılandırılmış Kelime Dersleri: Erken yaş öğrenimine uygun olarak hazırlanan tematik içerikler.
• Çok Duyulu Eğitici Oyunlar: Resimli testler, ses eşleştirme, renk karıştırma ve gizli nesne bulma oyunları.
• Sevimli Maskot Lumi: Gerçek zamanlı olarak tepki veren, kazanımları kutlayan ve motivasyonu canlı tutan karakter.
• Cihaz İçi İlerleme Takibi: Günlük öğrenme serilerini, sınav puanlarını ve kelime öğrenme grafiklerini çevrimdışı inceleme imkanı.
• Telaffuz ve Dinleme Pratiği: Net seslendirmeleri dinleyin ve konuşma modülleriyle pratik yapın.
• Güvenli Çocuk Deneyimi: Ebeveyn kilidi korumalı ve rahatsız edici reklamlar barındırmayan arayüz.

Lumi, çocuklarını yabancı dillerle erken dönemde tanıştırmak isteyen aileler için ideal bir yardımcıdır. Lumi'yi hemen indirin ve çocuğunuzun dil öğrenme yolculuğuna eşlik edin!"
"id","Lumi: Belajar Bahasa & Kata","Game edukasi kosakata interaktif dan belajar bahasa untuk anak dengan Lumi.","Selamat datang di Lumi, aplikasi interaktif yang dirancang untuk membantu anak-anak belajar bahasa dan kosakata dengan menyenangkan dan terstruktur!

Lumi memadukan pendidikan awal dengan mini-game yang menarik untuk membantu anak membangun fondasi yang kuat dalam berbagai bahasa seperti Inggris, Spanyol, Vietnam, Prancis, dan Jerman. Melalui latihan berbicara, pengenalan suara, kuis gambar, dan kegiatan aktif, mengenal bahasa baru menjadi kegiatan harian yang menyenangkan.

Fitur Utama:

• Pelajaran Kosakata Terstruktur: Topik-topik yang disusun khusus untuk usia dini.
• Game Interaktif Multi-Sensori: Kuis bergambar, mencocokkan suara, mencampur warna, dan mencari objek tersembunyi.
• Maskot Animasi Lumi: Karakter ramah yang bereaksi langsung, merayakan pencapaian, dan menjaga semangat belajar anak.
• Pemantauan Kemajuan Lokal: Lihat rentetan hari belajar, skor, dan grafik penguasaan kata secara offline di perangkat.
• Latihan Pengucapan & Audio: Dengarkan pelafalan yang jelas dan latih kemampuan bicara melalui latihan interaktif.
• Aman untuk Anak: Dilengkapi sistem pengaman gerbang orang tua dan bebas dari iklan yang mengganggu.

Lumi adalah sarana yang tepat bagi orang tua yang ingin mengenalkan bahasa asing kepada anak di rumah. Unduh Lumi sekarang dan mulailah pengalaman belajar yang berharga!"
"nl","Lumi: Talen Leren & Spelen","Interactieve taal- en woordenschatspellen voor kinderen met Lumi.","Welkom bij Lumi, de interactieve educatieve app waarmee kinderen op een speelse manier talen en woordenschat leren!

Lumi combineert vroegtijdige educatie met leuke minigames om jonge leerlingen te helpen een stevige basis te leggen in talen zoals Engels, Spaans, Vietnamees, Frans en Duits. Dankzij spraakoefeningen, geluidsherkenning, visuele quizzen en actieve opdrachten wordt het leren van een nieuwe taal een dagelijkse ontdekking.

Belangrijkste functies:

• Gestructureerde Woordenschatlessen: Thema's die speciaal zijn afgestemd op jonge kinderen.
• Zintuiglijke Minigames: Beeldquizzen maken, geluiden koppelen, kleuren mengen en verborgen voorwerpen zoeken.
• Geanimeerde Mascotte Lumi: Een vrolijk figuurtje dat direct reageert, successen viert en motiveert.
• Lokale Voortgangsbewaking: Bekijk dagelijkse leerreeksen, scores en woordenschatstatistieken offline op het toestel.
• Uitspraak & Luistervaardigheid: Luister naar duidelijke uitspraken en oefen het spreken met interactieve opdrachten.
• Veilig voor Kinderen: Voorzien van een ouderbeveiliging en vrij van storende advertenties.

Lumi is het ideale hulpmiddel voor ouders die hun kinderen thuis willen laten kennismaken met vreemde talen. Download Lumi vandaag nog en ga samen op ontdekkingsreis!"
"pl","Lumi: Nauka języków i słów","Interaktywna nauka języków obcych i gry słowne dla dzieci z Lumi.","Witaj w Lumi — interaktywnej aplikacji stworzonej, aby pomóc dzieciom w nauce języków obcych oraz poszerzaniu słownictwa!

Lumi łączy wczesną edukację z wciągającymi minigrami, pomagając najmłodszym zbudować solidne podstawy w takich językach jak angielski, hiszpański, wietnamski, francuski i niemiecki. Ćwiczenia wymowy, rozpoznawanie dźwięków, quizy obrazkowe i ciekawe zadania sprawiają, że nauka języka staje się radosnym codziennym rytuałem.

Główne funkcje:

• Uporządkowane lekcje słówek: Tematy dobrane z myślą o percepcji małych dzieci.
• Gry wielozmysłowe: Quizy z ilustracjami, łączenie dźwięków, mieszanie barw oraz szukanie ukrytych elementów.
• Animowany towarzysz Lumi: Urocza maskotka, która reaguje w czasie rzeczywistym, nagradza sukcesy i motywuje do działania.
• Monitorowanie postępów: Sprawdzaj serie codziennej nauki, wyniki testów i wykresy zapamiętywania bez konieczności połączenia z siecią.
• Trening wymowy i słuchania: Słuchaj poprawnej wymowy i ćwicz mówienie w interaktywnych modułach.
• Bezpieczeństwo najmłodszych: Wyposażona w blokadę rodzicielską oraz wolna od uciążliwych reklam.

Lumi to doskonałe wsparcie dla rodziców pragnących wprowadzić dziecko w świat języków obcych w przyjazny sposób. Pobierz Lumi już dziś i rozpocznijcie wspólną przygodę!"
"sv","Lumi: Lär dig språk & ord","Interaktiv språkinlärning och ordförrådsspel för barn med Lumi.","Välkommen till Lumi, den interaktiva appen som hjälper barn att lära sig språk och bygga upp sitt ordförråd på ett lekfullt sätt!

Lumi kombinerar pedagogiska metoder med roliga minispel för att ge unga elever en trygg grund i språk som engelska, spanska, vietnamesiska, franska och tyska. Genom talövningar, ljudigenkänning, bildquiz och aktiva moment blir det en glädjefylld daglig rutin att utforska ett nytt språk.

Nyckelfunktioner:

• Strukturerade ordförrådslektioner: Teman anpassade för barns tidiga inlärning.
• Multisensoriska spel: Lös bildquiz, koppla samman ljud, blanda färger och leta efter dolda föremål.
• Animerad maskot Lumi: En charmig vän som reagerar i realtid, firar framsteg och uppmuntrar till fortsatt lärande.
• Framstegsöversikt på enheten: Se dagliga inlärningssviter, poäng och minnesgrafer offline.
• Uttal och talövning: Lyssna på tydligt tal och träna på att prata genom interaktiva uppgifter.
• Trygg miljö för barn: Utrustad med föräldralås och helt utan störande reklam.

Lumi ger föräldrar ett praktiskt och roligt verktyg för att introducera främmande språk i hemmet. Ladda ner Lumi idag och starta barnets språkäventyr!"
"no","Lumi: Lær språk og ord","Interaktiv språkopplæring og ordspill for barn med Lumi.","Velkommen til Lumi, den interaktive læringsappen som hjelper barn med å lære språk og bygge ordforråd på en engasjerende måte!

Lumi kombinerer tidlig pedagogikk med morsomme minispill for å gi barna et solid grunnlag i språk som engelsk, spansk, vietnamesisk, fransk og tysk. Gjennom taleøvelser, lydgjenkjenning, bildequizer og varierte oppgaver blir det å lære et nytt språk en positiv daglig opplevelse.

Hovedfunksjoner:

• Strukturerte ordforrådstimer: Temaer tilpasset barns læringsbehov.
• Multisensoriske minispill: Bildequizer, lydoppgaver, fargeblanding og leting etter skjulte gjenstander.
• Animert maskot Lumi: En herlig følgesvenn som reagerer underveis, feirer fremskritt og holder motivasjonen oppe.
• Lokal fremgangsoversikt: Følg med på daglige læringsrekker, resultater og ordstatistikk direkte på enheten offline.
• Uttale og taleøvelser: Hør tydelig uttale og øv på å snakke med interaktive moduler.
• Trygt for barn: Innebygd foreldrelås og helt uten forstyrrende reklame.

Lumi er et ideelt valg for familier som ønsker å introdusere fremmedspråk i hverdagen. Last ned Lumi i dag og start læringen sammen!"
"da","Lumi: Lær sprog og ord","Interaktiv sprogindlæring og ordlege for børn med Lumi.","Velkommen til Lumi, den interaktive app udviklet til at hjælpe børn med at lære sprog og opbygge ordforråd gennem leg!

Lumi forener pædagogiske principper med underholdende minispil for at skabe et stærkt fundament i sprog som engelsk, spansk, vietnamesisk, fransk og tysk. Via udtaleøvelser, lydgenkendelse, billedquizzer og sjove aktiviteter bliver det en herlig daglig rutine at lære et nyt sprog.

Vigtige funktioner:

• Strukturerede ordforrådslektioner: Emner der passer perfekt til de yngste elever.
• Sansestimulerende spil: Løs billedquizzer, match lyde, bland farver og find skjulte genstande.
• Animeret maskot Lumi: En sød figur der reagerer i realtid, fejrer fremskridt og bevarer lærelysten.
• Fremskridtsvisning på enheden: Følg daglige læringsstriber, point og statistikker offline.
• Udtale og taletræning: Lyt til klar tale og øv dig i at udtale ordene via interaktive øvelser.
• Børnevenligt og sikkert: Beskyttet med forældrelås og uden forstyrrende reklamer.

Lumi gør det let og sjovt for forældre at introducere nye sprog i hjemmet. Download Lumi i dag og tag hul på en spændende sprogrejse!"
